City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,darhan,49.4867,105.9228,-24.67,98,24,1.79,MN,1675547655
225,galle,6.0367,80.217,24.69,87,38,0.86,LK,1675547913
226,los llanos de aridane,28.6585,-17.9182,13.86,69,20,3.6,ES,1675547689
227,bennettsville,34.6174,-79.6848,8.1,37,0,2.06,US,1675547913
228,namibe,-15.1961,12.1522,21.66,76,64,3.38,AO,1675547664
229,pangnirtung,66.1451,-65.7125,-36.61,98,75,1.08,CA,1675547501
230,luderitz,-26.6481,15.1594,17.62,85,27,6.76,,1675547914
231,mukhen,48.1,136.1,-16.61,93,95,2.28,RU,1675547915
232,iquitos,-3.7481,-73.2472,27.02,78,75,2.57,PE,1675547915
233,tezu,27.9167,96.1667,15.58,29,25,1.9,IN,1675547916
234,mehamn,71.0357,27.8492,-2.03,86,77,2.06,NO,1675547697
235,svetlogorsk,52.6333,29.7333,-6.48,93,90,4.51,BY,1675547685
236,port lincoln,-34.7333,135.8667,17.37,70,58,2.12,AU,1675547492
237,neftcala,39.3742,49.2472,9.05,86,100,4.82,AZ,1675547917
238,coolum beach,-26.5333,153.1,25.74,91,56,4.82,AU,1675547917
239,maceio,-9.6658,-35.7353,27.69,83,20,4.63,BR,1675547674
240,qui nhon,13.7667,109.2333,23.66,82,71,2.58,VN,1675547918
241,waingapu,-9.6567,120.2641,24.4,92,100,4.73,ID,1675547918
242,roald,62.5833,6.1333,5.74,81,75,8.75,NO,1675547918
243,isangel,-19.55,169.2667,29.06,89,75,1.54,VU,1675547433
244,aksu,41.1231,80.2644,-7.13,84,30,2.54,CN,1675547919
245,chahuites,16.2833,-94.1833,26.56,46,15,7.89,MX,1675547920
246,kenai,60.5544,-151.2583,-3.81,88,100,2.06,US,1675547920
247,kaabong,3.4836,34.1492,20.35,36,48,2.11,UG,1675547920
248,gasa,31.5,34.4667,12.16,63,84,5.52,PS,1675547921
249,pecos,31.4229,-103.4932,22.36,22,0,1.54,US,1675547921
250,suchiapa,16.6167,-93.0833,22.18,60,75,9.77,MX,1675547922
251,malangwa,26.8568,85.5581,12.07,68,0,1.54,NP,1675547923
252,sokoni,-6.4333,39.55,27.92,77,100,4.42,TZ,1675547923
253,port macquarie,-31.4333,152.9167,22.72,62,0,1.03,AU,1675547923
254,kilindoni,-7.9139,39.6668,27.62,78,100,5.44,TZ,1675547924
